The Mild Mild West	spray_paint	Bristol	UK	1999	2
Choose Your Weapon	spray_paint	London	UK	2002	3
Girl with Balloon	spray_paint	London	UK	2002	3
Bomb Hugger	spray_paint	London	UK	2003	2
Keep your Coins, I want Change	spray_paint	Melbourne	AU	2004	1
Naplam Girl	spray_paint	London	UK	2004	1
Snorting Copper	spray_paint	London	UK	2005	2
Soldiers Painting CND Sign	spray_paint	London	UK	2005	2
Well, Hung Lover	spray_paint	Bristol	UK	2006	3
Old Woman	spray_paint	Los Angeles	USA	2006	3
Sweep it Under the Carpet	spray_paint	London	UK	2006	3
Gangsta Rat	spray_paint	London	UK	2006	3
Looting Soldier	spray_paint	New Orleans	USA	2007	2
Stop and Search	spray_paint	Bethlehem	IS	2007	2
Girl with Skipping Rope	spray_paint	Brooklyn	USA	2007	2
Cash Machine Girl	spray_paint	London	UK	2007	2
Bubble Slide Girl	spray_paint	London	UK	2008	2
Gorilla Artist	spray_paint	London	UK	2008	2
Injured Buddha	spray_paint	London	UK	2008	2
Thug for Life Bunny	spray_paint	London	UK	2009	1
Don't Forget your Scraf	spray_paint	Bristol	UK	2009	1
Swing Girl	spray_paint	Los Angeles	USA	2010	1
Security Guard with Pink Balloon	spray_paint	Toronto	CA	2010	1
Interest in People	spray_paint	Toronto	CA	2010	1
Take this Society	spray_paint	London	UK	2011	3
Tap Phoned	spray_paint	London	UK	2011	3
Follow your Dreams - Canceled	spray_paint	Boston	USA	2011	3
Child Soldier	spray_paint	Los Angeles	USA	2011	3
Javelin Thrower	spray_paint	London	UK	2012	1
Fridge Kite	spray_paint	New Orleans	USA	2012	1
Slave Labour	spray_paint	London	UK	2012	1
Hammer Boy	spray_paint	New York	USA	2013	4
Graffiti Is A Crime	spray_paint	New York	USA	2013	4
Graffiti is a Crime	spray_paint	New York	USA	2013	4
Bronx Zoo	spray_paint	New York	USA	2013	4
Drunk Angel	spray_paint	London	UK	2014	1
I want change	spray_paint	Melbourne	AU	2015	2
Israeli-Palestinian Pillow Fight	canvas	Jerusalem	PS	2017	2
Box Cutter Rat	spray_paint	Paris	FR	2018	4
Seal Mural	spray_paint	New York	USA	2018	4
Season's Greetings	spray_paint	Wales	UK	2018	4
Go Flock Yourself	spray_paint	Paris	FR	2018	4
Blinded Napoleon	spray_paint	Paris	FR	2018	4
