Applause	canvas	2
Barcode	canvas	2
Because I'm Worthless	canvas	3
Blinded Napoleon	spray_paint	1
Bomb Hugger	canvas	2
Bomb Hugger	spray_paint	2
Bomb Middle England	canvas	2
Box Cutter Rat	spray_paint	1
Bronx Zoo	spray_paint	1
Bubble Slide Girl	spray_paint	1
CND Soldiers	canvas	2
Cash Machine Girl	spray_paint	1
Child Soldier	spray_paint	1
Choose Your Weapon	spray_paint	21
Choose Your Weapon	canvas	21
Christ with Shopping Bags	canvas	2
Civilian Drone STrike	canvas	1
Di Faced Tenners	canvas	2
Don't Forget your Scraf	spray_paint	1
Donuts	canvas	3
Drunk Angel	spray_paint	1
Dumbo	canvas	2
Festival	canvas	2
Flags	canvas	3
Flying Copper	canvas	3
Follow your Dreams - Canceled	spray_paint	1
Fridge Kite	spray_paint	1
Gangsta Rat	spray_paint	4
Gangsta Rat	canvas	4
Get Out While You Can	canvas	3
Girl With Balloon	canvas	2
Girl with Balloon	spray_paint	1
Girl with Skipping Rope	spray_paint	1
Go Flock Yourself	spray_paint	1
Golf Sale	canvas	2
Gorilla Artist	spray_paint	1
Graffiti Is A Crime	spray_paint	1
Graffiti is a Crime	spray_paint	1
Grannies	canvas	3
Grim Reaper	canvas	2
HMV	canvas	2
Hammer Boy	spray_paint	1
Happy Choppers	canvas	2
I Fought The Law	canvas	4
I want change	spray_paint	1
Injured Buddha	spray_paint	1
Interest in People	spray_paint	1
Israeli-Palestinian Pillow Fight	canvas	1
Jack & Jill	canvas	3
Javelin Thrower	spray_paint	1
Kate Moss	canvas	7
Keep your Coins, I want Change	spray_paint	1
Laugh Now	canvas	2
Looting Soldier	spray_paint	1
Love Hurts	canvas	2
Love Is In The Air	canvas	2
Love Is In The Air (CCCP)	canvas	1
Love Rat	canvas	2
Monkey Queen	canvas	2
NOLA	canvas	6
Napalm	canvas	5
Naplam Girl	spray_paint	1
Old Woman	spray_paint	1
Pulp Fiction	canvas	3
Queen Victoria	canvas	2
Seal Mural	spray_paint	1
Season's Greetings	spray_paint	1
Security Guard with Pink Balloon	spray_paint	1
Slave Labour	spray_paint	1
Snorting Copper	spray_paint	1
Soldiers Painting CND Sign	spray_paint	1
Stop and Search	spray_paint	1
Sweep it Under the Carpet	spray_paint	1
Swing Girl	spray_paint	1
Take this Society	spray_paint	1
Tap Phoned	spray_paint	1
The Mild Mild West	spray_paint	1
Thug for Life Bunny	spray_paint	1
Trolleys	canvas	4
Turf War	canvas	2
Well, Hung Lover	spray_paint	1
