The Mild Mild West	spray_paint	Bristol	UK	1999
Choose Your Weapon	spray_paint	London	UK	2002
Girl with Balloon	spray_paint	London	UK	2002
Bomb Hugger	spray_paint	London	UK	2003
Keep your Coins, I want Change	spray_paint	Melbourne	AU	2004
Snorting Copper	spray_paint	London	UK	2005
Well, Hung Lover	spray_paint	Bristol	UK	2006
Old Woman	spray_paint	Los Angeles	USA	2006
Sweep it Under the Carpet	spray_paint	London	UK	2006
Gangsta Rat	spray_paint	London	UK	2006
Looting Soldier	spray_paint	New Orleans	USA	2007
Stop and Search	spray_paint	Bethlehem	IS	2007
Girl with Skipping Rope	spray_paint	Brooklyn	USA	2007
Cash Machine Girl	spray_paint	London	UK	2007
Bubble Slide Girl	spray_paint	London	UK	2008
Gorilla Artist	spray_paint	London	UK	2008
Injured Buddha	spray_paint	London	UK	2008
Thug for Life Bunny	spray_paint	London	UK	2009
Swing Girl	spray_paint	Los Angeles	USA	2010
Security Guard with Pink Balloon	spray_paint	Toronto	CA	2010
Interest in People	spray_paint	Toronto	CA	2010
Take this Society	spray_paint	London	UK	2011
Tap Phoned	spray_paint	London	UK	2011
Follow your Dreams - Canceled	spray_paint	Boston	USA	2011
Child Soldier	spray_paint	Los Angeles	USA	2011
Javelin Thrower	spray_paint	London	UK	2012
Fridge Kite	spray_paint	New Orleans	USA	2012
Hammer Boy	spray_paint	New York	USA	2013
Graffiti Is A Crime	spray_paint	New York	USA	2013
Graffiti is a Crime	spray_paint	New York	USA	2013
Bronx Zoo	spray_paint	New York	USA	2013
Drunk Angel	spray_paint	London	UK	2014
I want change	spray_paint	Melbourne	AU	2015
Israeli-Palestinian Pillow Fight	canvas	Jerusalem	PS	2017
Box Cutter Rat	spray_paint	Paris	FR	2018
Seal Mural	spray_paint	New York	USA	2018
Season's Greetings	spray_paint	Wales	UK	2018
Go Flock Yourself	spray_paint	Paris	FR	2018
Blinded Napoleon	spray_paint	Paris	FR	2018
